Filename/ID,Speed (Hz),Synch-Mean_Asynchrony (ms),Synch-Mean_ITI (ms),Synch_STD (ms),Cont-Mean_ITI (ms),Cont_STD (ms),EMG_Peak_Time (ms)
ND,3,-32,339,50,333,44,-61
RFB,0.25,-13,3995,294,4064,193,-33
RFB,0.5,-90,1994,147,1963,74,-47
RFB,1,-42,990,84,1023,56,-47
RFB,2,-102,502,30,476,34,-53
RFB,3,-32,327,26,321,19,-55
CL,0.25,-78,3987,502,4352,468,-41
CL,0.5,-64,2076,440,2015,123,-37
CL,1,-42,1000,61,1034,45,-30
CL,2,-62,504,31,489,27,-33
CL,3,-52,335,26,312,24,-33
CT,0.25,-196,3961,491,3898,262,-84
CT,0.5,-65,1997,347,1917,149,-59
CT,1,-125,995,79,979,59,-66
CT,2,-62,499,39,506,35,-59
CT,3,-66,334,39,334,22,-77
SL,0.25,47,3940,631,4113,259,-37
SL,0.5,-74,1985,181,2177,109,-52
SL,1,-137,995,116,991,82,-54
SL,2,-116,501,31,515,40,-55
SL,3,-51,341,53,337,42,-38
